playerid,yearid,stint,teamid,lgid,g,ab,r,h,b,v11,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
ashburi01,1960,1,CHN,NL,151,547,99,159,16,5,0,40,16,4,116,50,1,1,7,1,4
asproke01,1960,2,CLE,AL,117,459,65,133,20,1,10,48,4,1,53,32,0,2,4,3,11
baileed01,1960,1,CIN,NL,133,441,52,115,19,3,13,67,1,0,59,70,9,2,1,7,9
bankser01,1960,1,CHN,NL,156,597,94,162,32,7,41,117,1,3,71,69,28,4,0,6,14
batteea01,1960,1,WS1,AL,137,466,49,126,24,2,15,60,4,5,48,68,5,8,4,4,15
bauerha01,1960,1,KC1,AL,95,255,30,70,15,0,3,31,1,0,21,36,1,1,3,5,11
becquju01,1960,1,WS1,AL,110,298,41,75,15,7,4,35,1,3,12,35,3,1,2,1,15
bellgu01,1960,1,CIN,NL,143,515,65,135,19,5,12,62,4,3,29,40,3,1,4,5,7
berbelo01,1960,1,DET,AL,85,232,18,45,4,0,5,23,2,0,41,31,4,1,0,4,6
berrayo01,1960,1,NYA,AL,120,359,46,99,14,1,15,62,2,1,38,23,6,3,0,4,11
bertore01,1960,1,WS1,AL,121,460,44,122,17,7,4,45,3,5,26,58,2,8,13,4,11
bilkost01,1960,1,DET,AL,78,222,20,46,11,2,9,25,0,1,27,31,0,0,0,1,6
blasido01,1960,1,SFN,NL,136,523,72,123,12,8,2,31,14,2,49,53,1,2,7,2,4
bollifr01,1960,1,DET,AL,139,536,64,136,20,4,9,59,7,4,40,48,2,2,6,0,10
bouched01,1960,2,CHN,NL,98,299,33,71,11,1,5,44,2,0,45,51,4,2,0,6,4
boyercl02,1960,1,NYA,AL,124,393,54,95,20,1,14,46,2,3,23,85,1,3,7,5,7
boyerke01,1960,1,SLN,NL,151,552,95,168,26,10,32,97,8,7,56,77,10,4,0,4,13
brandja01,1960,1,BAL,AL,145,511,73,130,24,6,15,65,5,3,47,69,3,3,3,6,7
breedma01,1960,1,BAL,AL,152,551,69,147,25,2,3,43,10,4,35,80,2,3,2,3,8
bressed01,1960,1,SFN,NL,116,386,37,87,19,6,9,43,1,2,35,72,12,2,3,5,10
brutobi01,1960,1,ML1,NL,151,629,112,180,27,13,12,54,22,13,41,97,1,2,1,4,4
buddido01,1960,1,BOS,AL,124,428,62,105,21,5,6,36,4,2,62,59,5,1,3,6,14
burgesm01,1960,1,PIT,NL,110,337,33,99,15,2,7,39,0,1,35,13,12,0,0,4,6
callijo01,1960,1,PHI,NL,99,288,36,75,11,5,9,30,0,4,45,70,2,0,2,0,1
careyan01,1960,2,KC1,AL,102,343,30,80,14,4,12,53,0,0,26,52,0,1,3,3,16
cashno01,1960,1,DET,AL,121,353,64,101,16,3,18,63,4,2,65,58,1,6,0,4,0
cepedor01,1960,1,SFN,NL,151,569,81,169,36,3,24,96,15,6,34,91,9,8,0,4,11
cervbo01,1960,2,NYA,AL,87,216,32,54,11,1,8,28,0,0,30,36,2,3,0,0,6
chrisne01,1960,1,DET,AL,96,220,27,56,10,3,5,24,2,0,19,26,0,1,2,4,5
cimolgi01,1960,1,PIT,NL,101,307,36,82,14,4,0,28,1,0,32,43,3,1,3,2,9
clemero01,1960,1,PIT,NL,144,570,89,179,22,6,16,94,4,5,39,72,4,2,4,5,21
clintlo01,1960,1,BOS,AL,96,298,37,68,17,5,6,37,4,3,20,66,1,3,5,6,13
cokerji01,1960,1,PHI,NL,81,252,18,54,5,3,6,34,0,3,23,45,2,4,5,1,5
colavro01,1960,1,DET,AL,145,555,67,138,18,1,35,87,3,6,53,80,4,4,1,3,17
colemgo01,1960,1,CIN,NL,66,251,26,68,10,1,6,32,1,1,12,32,1,2,3,1,2
cottich01,1960,1,ML1,NL,95,229,29,52,8,0,3,19,1,0,14,21,3,2,5,4,3
covinwe01,1960,1,ML1,NL,95,281,25,70,16,1,10,35,1,2,15,37,1,1,0,2,9
crandde01,1960,1,ML1,NL,142,537,81,158,14,1,19,77,4,6,34,36,6,4,9,12,15
